repo,n_samples,accuracy,precision,recall,f1
oapackage,30,0.9666666666666667,0.9583333333333334,1.0,0.9787234042553191
FlowSieve,122,0.9426229508196722,0.9247311827956989,1.0,0.9608938547486033
CADET-Core,102,0.9019607843137255,0.8837209302325582,1.0,0.9382716049382716
pyclustering,117,0.9230769230769231,0.6086956521739131,1.0,0.7567567567567568
singularity-eos,33,0.9090909090909091,0.896551724137931,1.0,0.9454545454545454
REMORA,50,0.86,0.8205128205128205,1.0,0.9014084507042254
forefire,26,0.8846153846153846,0.85,1.0,0.918918918918919
ERF,106,0.7358490566037735,0.3333333333333333,1.0,0.5
OpenMD,283,0.9363957597173145,0.673469387755102,0.9428571428571428,0.7857142857142857
revosim,19,0.9473684210526315,0.9333333333333333,1.0,0.9655172413793104
MAESTROeX,48,0.8541666666666666,0.8285714285714286,0.9666666666666667,0.8923076923076924
humanleague,14,1.0,1.0,1.0,1.0
APGG,18,1.0,1.0,1.0,1.0
3dfier,9,0.7777777777777778,0.75,1.0,0.8571428571428571
Cabana,39,0.9487179487179487,1.0,0.9047619047619048,0.95
riesling,88,0.7840909090909091,0.759493670886076,1.0,0.8633093525179856
universal,118,0.8389830508474576,0.48484848484848486,0.8888888888888888,0.6274509803921569
dmpbbo,15,1.0,1.0,1.0,1.0
NGSTrefftz,14,1.0,1.0,1.0,1.0
ctbench,8,1.0,1.0,1.0,1.0
limbo,21,0.9523809523809523,1.0,0.9444444444444444,0.9714285714285714
gyselalibxx,91,0.7252747252747253,0.6323529411764706,1.0,0.7747747747747747
libecpint,18,1.0,1.0,1.0,1.0
mole,14,1.0,1.0,1.0,1.0
Open-Infra-Platform,113,0.8230088495575221,0.047619047619047616,1.0,0.09090909090909091
osmdata,6,1.0,1.0,1.0,1.0
epiworldR,5,1.0,1.0,1.0,1.0
CutePeaks,12,1.0,1.0,1.0,1.0
netrankr,7,1.0,1.0,1.0,1.0
Easy3D,135,0.837037037037037,0.42105263157894735,1.0,0.5925925925925926
QUIT,78,0.8846153846153846,0.8783783783783784,1.0,0.935251798561151
compboost,14,0.7142857142857143,0.6,1.0,0.75
biorbd,68,0.7058823529411765,0.40625,0.9285714285714286,0.5652173913043478
volesti,41,0.6341463414634146,0.0,0.0,0.0
o80,8,1.0,1.0,1.0,1.0
PeleLMeX,34,0.6470588235294118,0.6363636363636364,1.0,0.7777777777777778
partition,6,1.0,1.0,1.0,1.0
PANKH,6,0.8333333333333334,0.75,1.0,0.8571428571428571
basix,17,1.0,1.0,1.0,1.0
asgard,41,0.6097560975609756,0.2727272727272727,1.0,0.42857142857142855
wbc,48,1.0,1.0,1.0,1.0
low-fidelity-dynamic-models,15,1.0,1.0,1.0,1.0
small_gicp,32,1.0,1.0,1.0,1.0
Nyx,39,0.8974358974358975,0.8461538461538461,1.0,0.9166666666666666
thermofun,28,0.8214285714285714,0.5454545454545454,1.0,0.7058823529411765
GRFolres,10,1.0,1.0,1.0,1.0
ctseg,24,1.0,1.0,1.0,1.0
MParT,55,0.9454545454545454,0.94,1.0,0.9690721649484536
ddc,49,0.8775510204081632,0.8837209302325582,0.9743589743589743,0.926829268292683
sleev,7,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231
claire,53,0.9245283018867925,0.9215686274509803,1.0,0.9591836734693877
Arduino-FOC,60,1.0,1.0,1.0,1.0
neworder,5,1.0,1.0,1.0,1.0
individual,9,1.0,1.0,1.0,1.0
core,154,0.7532467532467533,0.4722222222222222,1.0,0.6415094339622641
robot_dart,45,0.9777777777777777,0.9767441860465116,1.0,0.9882352941176471
qualpal,6,1.0,1.0,1.0,1.0
imager,11,1.0,1.0,1.0,1.0
manif,29,0.9655172413793104,0.9642857142857143,1.0,0.9818181818181818
DisCoTec,27,0.5185185185185185,0.35,1.0,0.5185185185185185
PetIBM,31,0.967741935483871,0.9333333333333333,1.0,0.9655172413793104
quaca,14,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523
Plaquette,33,1.0,1.0,1.0,1.0
polytopewalk,25,1.0,1.0,1.0,1.0
ChebTools,6,1.0,1.0,1.0,1.0
ngsxfem,22,0.8636363636363636,0.8571428571428571,1.0,0.9230769230769231
mandyoc,12,0.5833333333333334,0.5454545454545454,1.0,0.7058823529411765
AmgXWrapper,10,0.9,1.0,0.9,0.9473684210526315
CoreRobotics,27,0.9629629629629629,1.0,0.95,0.9743589743589743
castor,5,1.0,1.0,1.0,1.0
SeismicMesh,6,1.0,1.0,1.0,1.0
NebulaSEM,21,0.9523809523809523,1.0,0.9523809523809523,0.975609756097561
kokkos-fft,22,0.8636363636363636,0.8571428571428571,1.0,0.9230769230769231
tRIBS,30,0.6,0.3684210526315789,1.0,0.5384615384615384
amptorch,5,1.0,1.0,1.0,1.0
aorsf,5,0.8,0.8,1.0,0.8888888888888888
aste,7,0.8571428571428571,0.8571428571428571,1.0,0.9230769230769231
HODLR,10,0.8,0.8,1.0,0.8888888888888888
ugv_nav4d,13,0.9230769230769231,0.9166666666666666,1.0,0.9565217391304348
kima,7,1.0,1.0,1.0,1.0
mujoco_ros2_control,5,1.0,1.0,1.0,1.0
GRChombo,23,0.9130434782608695,0.9047619047619048,1.0,0.95
cppdlr,12,1.0,1.0,1.0,1.0
pyamg,6,1.0,1.0,1.0,1.0
madupite,9,0.8888888888888888,0.8888888888888888,1.0,0.9411764705882353
ezc3d,25,1.0,1.0,1.0,1.0
rFBP,6,1.0,1.0,1.0,1.0
dtw-cpp,7,1.0,1.0,1.0,1.0
FastGeodis,9,0.8888888888888888,1.0,0.8888888888888888,0.9411764705882353
gala,7,0.7142857142857143,0.6,1.0,0.75
RNMC,14,0.9285714285714286,0.9090909090909091,1.0,0.9523809523809523
universalmotif,8,1.0,1.0,1.0,1.0
Olaf,5,0.6,0.0,0.0,0.0
shapr,6,1.0,1.0,1.0,1.0
polyhedral-gravity-model,11,1.0,1.0,1.0,1.0
ryacas,5,0.4,0.4,1.0,0.5714285714285714
